ip,port,protocol,country,anonymity,latency_ms,speed_kbps,score,last_seen
50.192.195.69,39792,socks4,US,anonymous,441,0.3,65.2,2026-09-24T07:07:54.667501+00:00
103.119.19.218,3128,http,CZ,anonymous,494,0.3,63.7,2026-09-24T07:07:54.702318+00:00
161.35.70.249,3128,http,DE,elite,1045,,63.7,2026-09-24T07:07:54.702337+00:00
176.124.205.244,1080,socks4,SE,anonymous,699,,63.2,2026-09-24T07:07:54.676030+00:00
213.199.47.140,1080,socks5,FR,anonymous,2608,0.1,61.4,2026-09-24T07:07:54.701294+00:00
57.128.231.218,1009,socks4,PL,elite,518,0.3,60.9,2026-09-24T07:07:54.677219+00:00
144.91.111.48,1088,socks5,FR,anonymous,1200,0.1,60.1,2026-09-24T07:07:54.695385+00:00
57.128.231.218,1004,socks4,PL,elite,543,0.3,59.8,2026-09-24T07:07:54.682169+00:00
154.7.178.200,5555,socks5,US,elite,585,0.2,59.2,2026-09-24T07:07:54.697760+00:00
43.167.166.56,1080,socks5,JP,anonymous,763,,59.2,2026-09-24T07:07:54.700628+00:00
45.74.31.22,12837,socks5,NL,anonymous,2478,0.1,59.2,2026-09-24T07:07:54.674537+00:00
45.74.31.50,46677,socks5,NL,elite,7812,0.0,59.2,2026-09-24T07:07:54.694882+00:00
195.144.24.57,3128,http,MK,elite,921,0.2,58.2,2026-09-24T07:07:54.693176+00:00
3.216.199.128,3128,http,US,elite,187,,57.2,2026-09-24T07:07:54.702380+00:00
43.128.86.102,8080,http,SG,anonymous,1078,,56.0,2026-09-24T07:07:54.689917+00:00
45.74.31.42,30724,socks5,NL,anonymous,2741,,55.8,2026-09-24T07:07:54.851308+00:00
3.212.18.54,3128,http,US,elite,164,,55.0,2026-09-24T07:07:54.702385+00:00
57.128.231.218,1201,socks4,PL,elite,513,0.3,55.0,2026-09-24T07:07:55.020301+00:00
16.52.81.236,54445,http,CA,anonymous,596,,55.0,2026-09-24T07:07:54.703015+00:00
149.130.173.58,9443,http,CO,elite,694,,55.0,2026-09-24T07:07:54.702623+00:00
43.173.120.13,8899,http,US,elite,843,,55.0,2026-09-24T07:07:54.702468+00:00
161.248.117.117,8080,http,ID,anonymous,890,,55.0,2026-09-24T07:07:54.692738+00:00
49.156.44.114,8080,http,KH,anonymous,900,0.2,55.0,2026-09-24T07:07:54.702579+00:00
13.51.196.44,3043,http,SE,anonymous,934,,55.0,2026-09-24T07:07:54.702643+00:00
78.12.136.220,48996,http,MX,anonymous,984,,55.0,2026-09-24T07:07:54.702740+00:00
103.227.187.177,6090,http,ID,anonymous,1012,,55.0,2026-09-24T07:07:54.683823+00:00
147.93.172.241,5555,socks5,FR,elite,1246,0.1,55.0,2026-09-24T07:07:54.851270+00:00
111.192.40.224,8888,http,CN,anonymous,1330,,55.0,2026-09-24T07:07:54.702896+00:00
45.74.31.22,10457,socks5,NL,anonymous,1489,,55.0,2026-09-24T07:07:54.700271+00:00
178.253.23.58,1080,socks5,NL,anonymous,1529,0.1,55.0,2026-09-24T07:07:54.673488+00:00
43.207.132.28,1707,http,JP,anonymous,1549,,55.0,2026-09-24T07:07:54.702988+00:00
15.160.132.166,37872,http,IT,anonymous,1566,0.1,55.0,2026-09-24T07:07:54.702372+00:00
78.12.246.160,9090,http,MX,anonymous,1608,,55.0,2026-09-24T07:07:54.702886+00:00
45.74.31.30,7953,socks5,NL,anonymous,1697,,55.0,2026-09-24T07:07:54.698858+00:00
80.82.40.129,1080,socks5,RU,elite,1789,,55.0,2026-09-24T07:07:54.673467+00:00
15.217.107.97,7014,http,ES,anonymous,1842,,55.0,2026-09-24T07:07:54.702699+00:00
45.74.31.40,4623,socks5,NL,elite,1856,,55.0,2026-09-24T07:07:54.674532+00:00
51.84.101.19,18867,http,IL,anonymous,1972,,55.0,2026-09-24T07:07:54.702465+00:00
43.251.225.160,8080,http,HK,elite,1976,,55.0,2026-09-24T07:07:54.702828+00:00
203.251.28.105,1080,socks5,KR,elite,2010,,55.0,2026-09-24T07:07:54.696778+00:00
213.21.229.84,9080,socks4,SE,elite,2038,,55.0,2026-09-24T07:07:54.681043+00:00
103.158.252.79,8080,http,ID,anonymous,2066,,55.0,2026-09-24T07:07:54.688158+00:00
103.158.210.80,8082,http,ID,anonymous,2095,,55.0,2026-09-24T07:07:54.689374+00:00
45.74.31.42,8508,socks5,NL,anonymous,2119,,55.0,2026-09-24T07:07:54.674522+00:00
45.74.31.42,7911,socks5,NL,anonymous,2133,,55.0,2026-09-24T07:07:54.675154+00:00
45.74.31.42,12810,socks5,NL,elite,2313,,55.0,2026-09-24T07:07:54.852543+00:00
45.74.31.30,7696,socks5,NL,anonymous,2324,0.1,55.0,2026-09-24T07:07:54.851686+00:00
45.74.31.42,11344,socks5,NL,anonymous,2408,,55.0,2026-09-24T07:07:54.674971+00:00
109.191.10.98,1080,socks5,RU,elite,2495,,55.0,2026-09-24T07:07:54.673544+00:00
45.74.31.42,12953,socks5,NL,elite,2544,,55.0,2026-09-24T07:07:54.852911+00:00
15.152.38.117,13190,http,JP,anonymous,2602,,55.0,2026-09-24T07:07:54.702822+00:00
45.74.31.41,11050,socks5,NL,anonymous,2629,,55.0,2026-09-24T07:07:54.693882+00:00
43.153.209.201,8080,http,SG,anonymous,2816,0.1,55.0,2026-09-24T07:07:54.702554+00:00
38.46.214.193,1080,http,ID,anonymous,2942,,55.0,2026-09-24T07:07:54.690490+00:00
202.73.27.116,1080,http,ID,anonymous,2990,,55.0,2026-09-24T07:07:54.689898+00:00
45.74.31.30,7713,socks5,NL,anonymous,3592,0.0,55.0,2026-09-24T07:07:54.701235+00:00
168.119.173.104,47486,socks5,DE,anonymous,3913,0.0,55.0,2026-09-24T07:07:54.701467+00:00
45.74.31.22,17880,socks5,NL,elite,4307,0.0,55.0,2026-09-24T07:07:54.675052+00:00
45.74.31.25,5562,socks5,NL,elite,4323,0.0,55.0,2026-09-24T07:07:54.701120+00:00
45.74.31.25,6527,socks5,NL,anonymous,6168,0.0,55.0,2026-09-24T07:07:54.851737+00:00
101.96.105.87,8080,http,VN,anonymous,6203,0.0,55.0,2026-09-24T07:07:54.702702+00:00
117.236.124.166,3128,http,IN,elite,1319,0.1,51.9,2026-09-24T07:07:54.689848+00:00
172.210.12.8,3128,http,US,elite,155,,51.0,2026-09-24T07:07:54.693389+00:00
95.111.228.190,1082,socks4,FR,elite,489,0.3,50.8,2026-09-24T07:07:54.677999+00:00
156.225.20.83,1080,socks5,HK,anonymous,1498,0.1,50.1,2026-09-24T07:07:54.695991+00:00
43.128.109.40,8081,http,SG,elite,962,0.1,49.3,2026-09-24T07:07:54.688405+00:00
43.128.109.40,8080,http,SG,anonymous,1611,0.1,48.6,2026-09-24T07:07:54.702797+00:00
101.32.246.32,8080,http,SG,elite,955,0.1,48.1,2026-09-24T07:07:54.688116+00:00
45.74.31.40,9717,socks5,NL,elite,2599,,46.2,2026-09-24T07:07:54.674673+00:00
43.99.60.244,8089,http,HK,elite,2161,,44.8,2026-09-24T07:07:54.702524+00:00
154.44.31.195,555,socks5,HK,elite,1455,0.1,44.6,2026-09-24T07:07:54.699873+00:00
145.220.227.5,9050,socks5,NL,anonymous,458,0.0,43.7,2026-09-24T07:07:54.674592+00:00
159.195.22.223,8888,http,DE,elite,1052,,43.7,2026-09-24T07:07:55.004999+00:00
45.74.31.23,14246,socks5,NL,elite,2269,,43.7,2026-09-24T07:07:54.673529+00:00
45.74.31.22,9502,socks5,NL,anonymous,5817,0.0,43.7,2026-09-24T07:07:54.694205+00:00
45.74.31.40,10065,socks5,NL,elite,2014,,43.0,2026-09-24T07:07:54.674618+00:00
36.155.23.163,10808,http,CN,anonymous,904,0.2,42.8,2026-09-24T07:07:54.686428+00:00
